Apple,ORG
Paris,GPE
John Smith,PERSON
the Nobel Prize,WORK_OF_ART
Microsoft,ORG
quarterly,DATE
Google,ORG
AI,ORG
Beijing,GPE
Amazon,ORG
minutes,TIME
Google,ORG
Beijing,GPE
ഒരു,GPE
ഒരു,GPE
ഒരു,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
Google,ORG
Beijing,GPE
